                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     64,                 1.7523,                0.77553,                 1.0773,                0.75938,                0.63246,                0.71038,                0.32511,                  1.822,                0.87046,                 1.0487,              0.0015842,              0.0015842,              0.0015842
                     65,                 1.7813,                0.76805,                 1.0798,                0.79002,                0.65009,                0.71252,                0.33429,                   1.77,                0.86527,                 1.0487,              0.0015776,              0.0015776,              0.0015776
                     66,                 1.7918,                0.81266,                 1.1082,                0.81043,                0.66776,                0.73851,                0.34301,                 1.7673,                0.84422,                 1.0437,               0.001571,               0.001571,               0.001571
                     67,                 1.7164,                0.78063,                 1.0723,                0.79371,                0.65189,                0.73235,                0.34033,                 1.7537,                0.85608,                 1.0276,              0.0015644,              0.0015644,              0.0015644
                     68,                 1.7183,                0.77943,                  1.092,                0.81014,                0.65933,                0.73778,                0.34444,                  1.786,                0.83817,                 1.0308,              0.0015578,              0.0015578,              0.0015578
                     69,                 1.7205,                  0.766,                 1.0585,                0.78703,                0.65502,                 0.7344,                0.33345,                 1.8115,                0.85675,                 1.0424,              0.0015512,              0.0015512,              0.0015512
                     70,                 1.6992,                0.76839,                 1.0812,                0.75291,                0.64813,                0.67839,                0.29788,                 1.9155,                 0.8758,                 1.0649,              0.0015446,              0.0015446,              0.0015446
                     71,                 1.7202,                0.77057,                 1.0766,                0.76108,                0.64803,                0.70393,                0.27938,                 2.0853,                0.93249,                 1.1144,               0.001538,               0.001538,               0.001538
                     72,                 1.7135,                0.77794,                 1.0961,                0.80575,                0.61805,                0.69358,                0.28302,                 2.0439,                0.87439,                 1.1068,              0.0015314,              0.0015314,              0.0015314
                     73,                  1.729,                0.77607,                 1.0823,                0.72341,                0.64131,                0.67862,                0.32341,                 1.7894,                0.90224,                 1.0371,              0.0015248,              0.0015248,              0.0015248
                     74,                 1.7647,                0.79486,                 1.1009,                0.72155,                0.62356,                 0.6492,                0.31935,                  1.727,                0.91373,                 1.0226,              0.0015182,              0.0015182,              0.0015182
                     75,                 1.7458,                0.77275,                 1.0988,                0.75342,                0.65894,                0.70295,                0.34301,                 1.7229,                0.88459,                 1.0265,              0.0015116,              0.0015116,              0.0015116
                     76,                 1.7281,                0.76192,                 1.0764,                0.74921,                0.65541,                0.71253,                0.31777,                 1.8882,                0.87428,                 1.0754,               0.001505,               0.001505,               0.001505
                     77,                 1.7537,                  0.788,                 1.0795,                0.81457,                0.63452,                0.73442,                0.34057,                 1.7843,                0.81699,                 1.0384,              0.0014984,              0.0014984,              0.0014984
