                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     84,                 1.7431,                0.75829,                 1.1263,                0.78348,                0.63943,                 0.7077,                 0.3202,                 1.8466,                0.90229,                 1.0599,               0.007261,               0.007261,               0.007261
                     85,                  1.746,                0.74132,                 1.0966,                 0.7991,                0.65118,                0.72645,                0.33872,                 1.8032,                0.86671,                  1.065,               0.007228,               0.007228,               0.007228
                     86,                 1.6916,                0.73236,                 1.0956,                0.81393,                0.65988,                0.73904,                0.35374,                 1.7784,                0.83417,                 1.0627,               0.007195,               0.007195,               0.007195
                     87,                 1.6946,                0.73983,                 1.0938,                0.80836,                0.65557,                0.72301,                 0.3161,                 1.9082,                0.84019,                 1.0827,               0.007162,               0.007162,               0.007162
                     88,                  1.689,                0.74378,                 1.1113,                0.79958,                0.64629,                0.69792,                0.25163,                 2.2312,                0.91071,                 1.1783,               0.007129,               0.007129,               0.007129
                     89,                 1.6458,                 0.7191,                 1.1152,                0.81353,                0.66472,                0.73465,                0.30772,                 1.9956,                0.84409,                 1.1093,               0.007096,               0.007096,               0.007096
                     90,                 1.7108,                0.73837,                 1.0805,                 0.8132,                0.67008,                0.74059,                0.35301,                 1.7028,                0.80469,                 1.0329,               0.007063,               0.007063,               0.007063
                     91,                 1.7291,                0.75359,                 1.1028,                0.78808,                0.64719,                0.71301,                0.35308,                 1.6955,                0.85149,                 1.0367,                0.00703,                0.00703,                0.00703
                     92,                 1.6694,                0.74543,                 1.0778,                0.80309,                0.65685,                0.74191,                0.37514,                 1.6529,                0.80607,                 1.0267,               0.006997,               0.006997,               0.006997
                     93,                 1.6225,                0.72379,                 1.1075,                0.79269,                0.67022,                0.73676,                0.36645,                 1.6679,                 0.7834,                  1.025,               0.006964,               0.006964,               0.006964
                     94,                 1.6343,                0.71327,                 1.0787,                0.77725,                0.68494,                0.72285,                 0.3519,                 1.6865,                 0.8055,                 1.0273,               0.006931,               0.006931,               0.006931
                     95,                 1.6633,                0.72778,                 1.0723,                0.77369,                0.67752,                0.73799,                 0.3704,                 1.6649,                0.79404,                 1.0271,               0.006898,               0.006898,               0.006898
                     96,                 1.6721,                0.75248,                 1.1135,                0.75442,                0.66528,                0.71582,                0.34632,                 1.7391,                0.81242,                 1.0452,               0.006865,               0.006865,               0.006865
                     97,                 1.6335,                0.72852,                 1.0965,                0.76633,                0.67797,                0.71998,                0.32516,                 1.8722,                0.84322,                 1.0788,               0.006832,               0.006832,               0.006832
                     98,                 1.6827,                0.70687,                 1.0657,                0.80599,                 0.6746,                0.74757,                0.34523,                 1.8417,                0.82389,                 1.0816,               0.006799,               0.006799,               0.006799
                     99,                 1.6901,                0.74759,                  1.096,                0.82599,                0.66706,                0.74764,                0.35288,                 1.8112,                0.80944,                 1.0687,               0.006766,               0.006766,               0.006766
                    100,                 1.7204,                 0.7381,                 1.0964,                0.79439,                0.65831,                 0.7266,                0.32702,                 1.8852,                0.84209,                 1.0855,               0.006733,               0.006733,               0.006733
                    101,                 1.6552,                0.73561,                 1.1039,                 0.8325,                0.67239,                0.75246,                0.35481,                  1.778,                0.78027,                 1.0547,                 0.0067,                 0.0067,                 0.0067
                    102,                  1.672,                0.72063,                 1.0968,                0.82856,                0.67319,                0.74941,                0.34103,                 1.8598,                 0.7856,                 1.0793,               0.006667,               0.006667,               0.006667
                    103,                 1.6952,                0.73456,                 1.0924,                0.82693,                0.67894,                0.76172,                0.38062,                 1.6495,                0.76884,                 1.0231,               0.006634,               0.006634,               0.006634
                    104,                 1.7054,                0.72838,                 1.0825,                0.82299,                0.67961,                0.75335,                0.36148,                  1.726,                0.77681,                 1.0374,               0.006601,               0.006601,               0.006601
                    105,                 1.6778,                0.71322,                 1.0722,                0.81628,                0.67103,                0.74444,                0.35474,                 1.7663,                0.77847,                 1.0524,               0.006568,               0.006568,               0.006568
